drug_id,drug,target
232,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4:C:C(O):C:C:C:4[C@H]3CC[C@@]21C,0
233,CC(CC1:C:C:C(O):C:C:1)NCC(O)C1:C:C(O):C:C(O):C:1,0
234,O=C1:[NH]:C(=O):N([C@H]2C[C@H](O)[C@@H](CO)O2):C:C:1F,0
235,CC1:O:N:C(C2:C(F):C:C:C:C:2Cl):C:1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0
236,O=C1:[NH]:C:C(F):C(=O):[NH]:1,0
237,NS(=O)(=O)C1:C:C(C(=O)O):C(NCC2:C:C:C:O:2):C:C:1Cl,0
238,NC1:N:C(=O):C2:N:C:N(COC(CO)CO):C:2:[NH]:1,0
239,C[N+]1(C)CCC(OC(=O)C(O)(C2:C:C:C:C:C:2)C2CCCC2)C1.[Br-],0
240,O=C(CCCN1CCC(O)(C2:C:C:C:C(C(F)(F)F):C:2)CC1)C1:C:C:C(F):C:C:1,1
241,CN(C)CCCN1C2:C:C:C:C:C:2SC2:C:C:C(C(F)(F)F):C:C:21,1
242,CN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(C(F)(F)F):C:C:32)CC1,1
243,OC(CCN1CCCCC1)(C1:C:C:C:C:C:1)C1CCCCC1,1
244,COC1:C:C(C(=O)N2CCOCC2):C:C(OC):C:1OC,1
245,CC(CN(C)C)CN1C2:C:C:C:C:C:2CCC2:C:C:C:C:C:21,1
246,CCCCNC(=O)OCC(C)(CCC)COC(N)=O,1
247,O=C1:C:C:N(C2OC(CO)C(O)C2O):C(=O):[NH]:1,1
248,CCCC(CCC)C(=O)O,1
249,CN(C)C/C=C(/C1:C:C:C(Br):C:C:1)C1:C:C:C:N:C:1,1
250,CC(C)N=C1:C:C2:N(C3:C:C:C(Cl):C:C:3):C3:C:C:C:C:C:3:N:C2:C:C:1NC1:C:C:C(Cl):C:C:1,0
251,COC1:C:C2:C(:C(OC):C:1OC)C1:C:C:C(OC):C(=O):C:C:1[C@@H](NC(C)=O)CC2,0
252,O=C(O)C1:C:C(=O):C2:C:C(OCC(O)COC3:C:C:C:C4:O:C(C(=O)O):C:C(=O):C:3:4):C:C:C:2:O:1,0
253,NC1CONC1=O,1
254,NC(=O)NO,1
255,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)C1:C:C:C:C:C:1)C2.[Br-],0
256,NC(N)=N/N=C/C1:C(Cl):C:C:C:C:1Cl,0
257,NC(N)=NCCN1CCCCCCC1,0
258,CN1C2CCC1CC(OC(=O)C(O)C1:C:C:C:C:C:1)C2,0
259,NNC1:N:N:C:C2:C:C:C:C:C:1:2,0
260,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NCNS2(=O)=O,0
261,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0
262,NS(=O)(=O)C1:C:C2:C(:C:C:1C(F)(F)F)NCNS2(=O)=O,0
263,CC(C)CC1:C:C:C(C(C)C(=O)O):C:C:1,0
264,COC1:C:C:C2:C(:C:1):C(CC(=O)O):C(C):N:2C(=O)C1:C:C:C(Cl):C:C:1,0
265,CN1CC2:C(C3:N:O:C([C@](C)(O)CO):N:3):N:C:N:2C2:C:C:C:C(Cl):C:2C1=O,0
267,C=C1CC2:C(CCN(CCC)CCC):C:C:C(O):C:2N1,1
268,CC1:N:C2:N(:C(=O):C:1CCN1CCC(C3:N:O:C4:C:C(F):C:C:C:3:4)CC1)CCC[C@H]2O,1
269,CC1:N:N:C2:N:1C1:C:C:C(Cl):C:C:1C(C1:C:C:C:C:C:1)=NC2,1
270,O=NN(CCCl)C(=O)NCCCl,1
271,CCC(C)N1:N:C:N(C2:C:C:C(N3CCN(C4:C:C:C(OC[C@H]5CO[C@](CN6:C:N:C:N:6)(C6:C:C:C(Cl):C:C:6Cl)O5):C:C:4)CC3):C:C:2):C:1=O,0
272,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,0
273,CC(C(=O)O)C1:C:C:C:C(C(=O)C2:C:C:C:C:C:2):C:1,1
274,O=C(C1:C:C:C:C:C:1)C1:C:C:C2:N:1CCC2C(=O)O,0
275,C[C@H](N)[C@H](O)C1:C:C:C:C(O):C:1,0
276,NNC(=O)C1:C:C:N:C:C:1,0
277,CC(C)NCC(O)C1:C:C:C(O):C(O):C:1,0
278,O=C1:C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O):C(C2:C:C:C(O):C(O):C:2):O:C2:C:C(O):C:C(O):C:1:2,0
279,CC(=O)N1CCN(C2:C:C:C(OC[C@H]3CO[C@](CN4:C:C:N:C:4)(C4:C:C:C(Cl):C:C:4Cl)O3):C:C:2)CC1,0
280,CC(CCC1:C:C:C:C:C:1)NCC(O)C1:C:C:C(O):C(C(N)=O):C:1,0
281,N[C@@H](CC1:C:C:C(O):C(O):C:1)C(=O)O,0
282,OCC(O)C(O)C(O)C(O)CO,0
283,C=C1C2:C(Cl):C:C:C(O):C:2C(O)=C2C(=O)C3(O)C(=O)/C(=C(/N)O)C(=O)C(N(C)C)C3C(O)C12,0
284,CC1:C:C:C(Cl):C(NC2:C:C:C:C:C:2C(=O)O):C:1Cl,0
285,CC1:C:C:C:C(NC2:C:C:C:C:C:2C(=O)O):C:1C,0
286,CN=C(NC#N)NCCSCC1:N:C:[NH]:C:1C,0
287,ClC1:C:C:C:C(Cl):C:1NC1=NCCN1,1
288,O=C1:N:C:[NH]:C2:C:1:N:C:N:2[C@H]1CC[C@@H](CO)O1,0
289,COCCC1:C:C:C(OCC(O)CNC(C)C):C:C:1,1
290,CC1:N:C:C([N+](=O)[O-]):N:1CCO,1
291,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](C3:C:C:C(N(C)C):C:C:3)C[C@@]21C,0
292,CN(C)C1:C:C:C(O):C2:C:1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1
293,O=C(NCCN1CCOCC1)C1:C:C:C(Cl):C:C:1,1
294,CC(C)[N+](C)(CCOC(=O)C1C2:C:C:C:C:C:2OC2:C:C:C:C:C:21)C(C)C.[Br-],0
295,NC(=O)C1:C:N:C:C:N:1,1
296,CN(C)C(=O)OC1:C:C:C:[N+](C):C:1.[Br-],1
297,CCC1:N:C(N):N:C(N):C:1C1:C:C:C(Cl):C:C:1,1
298,C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)C1:C:C:N:C2:C:C:C(OC):C:C:1:2,0
299,NC(CC1:C:C:C(N(CCCl)CCCl):C:C:1)C(=O)O,0
300,C[N+]1(C)CCCC(OC(=O)C(O)(C2:C:C:C:C:C:2)C2:C:C:C:C:C:2)C1.[Br-],0
301,COC1:C:C:C(CN(CCN(C)C)C2:C:C:C:C:N:2):C:C:1,0
302,C1:C:C:C2:C(:C:1)SC1:C:C:C:C:C:1N2CC1CN2CCC1CC2,0
303,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4:C:C(OC):C:C:C:4[C@H]3CC[C@@]21C,0
304,CC[N+](C)(CC)CCOC(=O)C1C2:C:C:C:C:C:2OC2:C:C:C:C:C:21,0
305,CN(CC1:C:N:C2:N:C(N):N:C(N):C:2:N:1)C1:C:C:C(C(=O)N[C@@H](CCC(=O)O)C(=O)O):C:C:1,0
306,CN1C(CCl)NC2:C:C(Cl):C(S(N)(=O)=O):C:C:2S1(=O)=O,0
307,C[C@](N)(CC1:C:C:C(O):C(O):C:1)C(=O)O,0
308,COC1:C:C:C:N:C:1CCCCNC1:N:C:C(CC2:C:C:C(C):N:C:2):C(=O):[NH]:1.[Cl-].[Cl-].[Cl-].[H+].[H+].[H+],0
310,CC1:C:C:C(CC2:C:N:C(NCCSCC3:C:C:C(C(C)(C)N):O:3):[NH]:C:2=O):C:N:1,0
311,CN1CCN2C3:C:C:C:C:C:3CC3:C:C:C:C:C:3C2C1,1
312,CC1:N:C:C2:N:1C1:C:C:C(Cl):C:C:1C(C1:C:C:C:C:C:1F)=NC2,1
313,CC(C)C1:N:C(CN(C)C(=O)N[C@H](C(=O)N[C@@H](CC2:C:C:C:C:C:2)C[C@H](O)[C@H](CC2:C:C:C:C:C:2)NC(=O)OCC2:C:N:C:S:2)C(C)C):C:S:1,0
314,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1:C:C:C:C:C:1)NC(=O)[C@H](CC(N)=O)NC(=O)C1:C:C:C2:C:C:C:C:C:2:N:1,0
315,FCOC(C(F)(F)F)C(F)(F)F,1
316,CC(=O)NC1:C(I):C(NC(C)=O):C(I):C(C(=O)[O-]):C:1I.[Na+],0
317,CC(C)NCC(O)C1:C:C:C(NS(C)(=O)=O):C:C:1,1
318,CC1:C:N([C@H]2C=C[C@@H](CO)O2):C(=O):[NH]:C:1=O,1
319,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,0
320,NC1:C:C:C(S(=O)(=O)NC2:N:C:C:C:N:2):C:C:1,1
321,CC1:N:O:C(NS(=O)(=O)C2:C:C:C(N):C:C:2):C:1C,1
322,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,0
323,ClC1:C:C:C(COC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C(Cl):C:1,0
324,C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,0
325,CCOC(=O)C(C1:C(O):O:C2:C:C:C:C:C:2:C:1=O)C1:C(O):O:C2:C:C:C:C:C:2:C:1=O,0
326,OCC1:C:C:C:N:C:1,0
327,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0
328,NCC(O)C1:C:C:C:C(O):C:1,0
329,CC(CCC1:C:C:C:C:C:1)NC(C)C(O)C1:C:C:C(O):C:C:1,0
330,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0
331,O=C(O)CCC1:N:C(C2:C:C:C:C:C:2):C(C2:C:C:C:C:C:2):O:1,0
332,CN1CCN2C3:N:C:C:C:C:3CC3:C:C:C:C:C:3C2C1,1
333,CC1:C:C:N:C2:C:1NC(=O)C1:C:C:C:N:C:1N2C1CC1,1
335,ClC1:C:C:C2:C(:C:1)[C@H]1CNC[C@H]1C1:C:C:C:C:C:1O2,1
336,CC1:C:C:C:C2:C:1OC1:C:C:C:C:C:1[C@@]1(O)CCNC[C@H]21,1
337,C=CC[C@H](N)C1:C:C:C:C:C:1C1:N:O:C2:C:C:C:C:C:1:2,1
338,CC1:C:C:C:C2:C:1OC1:C:C:C:C:C:1[C@@]1(O)CCN(C)C[C@H]21,1
339,CN1C[C@@H]2C3:C:C(Cl):C:C:C:3OC3:C:C:C:C:C:3[C@@H]2C1,1
340,CN/C(=C\[N+](=O)[O-])NCCSCC1:C:C:C(CN(C)C):O:1,0
341,CC1:C:C(NS(=O)(=O)C2:C:C:C(N):C:C:2):N:O:1,1
342,CC/C(=C(\C1:C:C:C:C:C:1)C1:C:C:C(OCCN(C)C):C:C:1)C1:C:C:C:C:C:1,1
343,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)[O-])C3:C:C:S:C:3)C(=O)N2[C@H]1C(=O)[O-].[Na+].[Na+],1
344,CC[C@@]1(O)C(=O)OCC2:C1:C:C1:N(:C:2=O)CC2:C:C3:C(CN(C)C):C(O):C:C:C:3:N:C:21,1
345,NC1:C:C:N([C@H]2CC[C@@H](CO)O2):C(=O):N:1,1
346,NS(=O)(=O)CC1:N:O:C2:C:C:C:C:C:1:2,1
347,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C\C=C/C=C\C=C/C=C\C=C/C=C\[C@H](C)[C@@H](O)[C@H]1C)O2,0
348,NC1:N:C(=O):C2:C(:[NH]:1)NCC(CNC1:C:C:C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]):C:C:1)N2C=O.[Ca+2],1
349,CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)C4:C(O):C:C:C:C:4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.O.O,0
350,COC1:C:C:C(CC2:N:C:C:C3:C:C(OC):C(OC):C:C:2:3):C:C:1OC,0
351,CC1(C)S[C@@H]2[C@H](NC(=O)CC3:C:C:C:C:C:3)C(=O)N2[C@H]1C(=O)O,0
352,CCOC1:C:C:C(NC(C)=O):C:C:1,0
353,NC1:C:C:C(N=NC2:C:C:C:C:C:2):C(N):N:1,0
354,CN(C)CCC(C1:C:C:C:C:C:1)C1:C:C:C:C:N:1,0
355,O=C1OC(C2:C:C:C(O):C:C:2)(C2:C:C:C(O):C:C:2)C2:C:C:C:C:C:21,0
356,CC(COC1:C:C:C:C:C:1)N(CCCl)CC1:C:C:C:C:C:1,0
357,CCCCC1C(=O)N(C2:C:C:C:C:C:2)N(C2:C:C:C:C:C:2)C1=O,0
358,CC(C)(C)NCC(O)C1:C:C:C(O):C(CO):N:1,0
359,CC1:N:C2:N(:C(=O):C:1CCN1CCC(C3:N:O:C4:C:C(F):C:C:C:3:4)CC1)CCCC2,1
360,CN1CC[C@@]2(C)C3:C:C(OC(=O)NC4:C:C:C:C:C:4):C:C:C:3N(C)[C@@H]12,1
361,CC1:C:C:C(CC2:C:N:C(NCCCCC3:N:C:C(Br):C:C:3C):[NH]:C:2=O):C:N:1,0
362,C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@H]3C,1
363,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3:C:C:C:C:C:3)CS[C@H]12)C1:C:S:C(N):N:1)C(=O)O,1
364,NC1:[NH]:C(=O):N:C:C:1F,1
365,NC(N)=NCC1COC2(CCCCC2)O1,0
366,O=NN(CCCl)C(=O)NC1CCCCC1,1
367,O=S(=O)([O-])CCS.[Na+],0
368,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,0
369,COC1:C:C([C@@H]2C3:C:C4:C(:C:C:3[C@@H](OC3OC5COC(C6:C:C:C:S:6)OC5C(O)C3O)[C@H]3COC(=O)[C@H]23)OCO4):C:C(OC):C:1O,1
370,S=P(N1CC1)(N1CC1)N1CC1,1
371,CN[C@H](CC(C)C)C(=O)NC1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)C4:C:C(O):C:C(O):C:4C4:C:C3:C:C:C:4O)[C@H](O)C3:C:C:C(:C(Cl):C:3)OC3:C:C2:C:C(:C:3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)OC2:C:C:C(:C:C:2Cl)[C@H]1O,0
372,CN1C(CSCC(F)(F)F)NC2:C:C(Cl):C(S(N)(=O)=O):C:C:2S1(=O)=O,0
373,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0
374,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0
375,CCCN(CCC)S(=O)(=O)C1:C:C:C(C(=O)O):C:C:1,0
376,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0
377,CC(C)NCC(O)COC1:C:C:C:C2:C:C:C:C:C:1:2,0
378,CC1OC(O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](C6:C:C:C(=O):O:C:6)CC[C@]45O)[C@@]3(C)CC2)C(O)C(O)C1O,0
379,COC1:C:C:C(C[C@H](N)C(=O)NC2[C@@H](CO)O[C@@H](N3:C:N:C4:C(N(C)C):N:C:N:C:4:3)[C@@H]2O):C:C:1,0
380,NC(=O)C1:N:C:N([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O):N:1,0
381,CN=C(NC#N)NCCSCC1:C:S:C(N=C(N)N):N:1,1
382,C1:C:C(CN2CCCCC2):C:C(OCCCNC2:N:C3:C:C:C:C:C:3:S:2):C:1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,1
383,OCC1:N:C:C2:N:1C1:C:C:C(Cl):C:C:1C(C1:C:C:C:C:C:1F)=NC2,1
384,CC(Cl)(Cl)Cl,1
386,CC(C)CO,1
387,CCC(C)(C)C,1
388,NC1:N:C:N:C2:C:1:N:C:N:2C1OC(CO)C(O)C1O,1
389,CN1CC2:C(C3:N:O:C(C(C)(CO)CO):N:3):N:C:N:2C2:C:C:C:C(Cl):C:2C1=O,0
391,S=C(NC1CCCCC1)N1CCC(C2:C:N:C:[NH]:2)CC1,1
392,COC1C=COC2(C)OC3:C(C):C(O):C4:C(:C:3C2=O)C(=O)C(=CNN2CCN(C)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,0
393,O=C(O)C1:C:C:C:C:C:1O,0
394,CN1[C@H]2CC(OC(=O)[C@H](CO)C3:C:C:C:C:C:3)C[C@@H]1[C@H]1O[C@@H]21,0
395,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21,0
396,C[C@]12CC3:C:N:[NH]:C:3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0
397,O=C(O)C1=C/C(=N\NC2:C:C:C(S(=O)(=O)NC3:C:C:C:C:N:3):C:C:2)C=CC1=O,0
398,CC(C)N1CCN(C2:C:C:C(OC[C@H]3CO[C@](CN4:C:N:C:N:4)(C4:C:C:C(Cl):C:C:4Cl)O3):C:C:2)CC1,0
399,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CCC(=O)O2,0
400,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0
401,CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)C4:C(O):C:C:C:C:4[C@@](C)(O)[C@H]3C[C@@H]12,0
402,CCCC(C)CC,1
403,CCC(C)CC,1
404,CC1:N:C:C2:N:1C1:C:C:C(Cl):C:C:1C(C1:C:C:C:C:C:1F)=NC2O,1
405,CC1:C(N(C)C):C(=O):N(C2:C:C:C:C:C:2):N:1C,1
406,CC(C)NCC(O)COC1:C:C:C(CC(N)=O):C:C:1,0
407,C1:C:C:C:C:C:1,1
408,CC(C)(C)OC(=O)C1:N:C:N2:C:1[C@@H]1CCCN1C(=O)C1:C(Br):C:C:C:C:12,1
409,O=C(CCCN1CCC(O)(C2:C:C:C(Br):C:C:2)CC1)C1:C:C:C(F):C:C:1,1
410,OC(C1:C:C(C(F)(F)F):N:C2:C(C(F)(F)F):C:C:C:C:1:2)C1CCCCN1,1
412,CN1C2:C:C:C:C:C:2C(C2:C:C:C:C:C:2F)=NCC1CNC(=O)C1:C:C:S:C:1,1
413,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,0
414,O=C(CC1:C:C:C(Cl):C(Cl):C:1)N1CCCC[C@H]1CN1CCCC1,1
415,O=C(CC1:C:C:C(Cl):C(Cl):C:1)N1CCC2:C:C:C:C:C:2[C@H]1CN1CCCC1,1
416,O=C(CC1:C:C:C(C(F)(F)F):C:C:1)N1CCCC[C@H]1CN1CCCC1,1
417,O=C(CC1:C:C:C(Cl):C(Cl):C:1)N1CCC2:S:C:C:C:2[C@H]1CN1CCCC1,1
418,CN1:C(=O):C2:[NH]:C:N:C:2:N(C):C:1=O,0
419,NC1:N:C(=S):C2:[NH]:C:N:C:2:[NH]:1,0
420,CC1:C:C:C(S(=O)(=O)NC(=O)NN2CCCCCC2):C:C:1,0
421,CCCCNC(=O)NS(=O)(=O)C1:C:C:C(C):C:C:1,0
422,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,0
423,NC1:N:C(N):C2:N:C(C3:C:C:C:C:C:3):C(N):N:C:2:N:1,0
424,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NC(C(Cl)Cl)NS2(=O)=O,0
425,CC(C)C1NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC1=O,0
426,COC1:C:C:C(CCN(C)CCCC(C#N)(C2:C:C:C(OC):C(OC):C:2)C(C)C):C:C:1OC,0
427,CC(=O)CC(C1:C:C:C:C:C:1)C1:C(O):O:C2:C:C:C:C:C:2:C:1=O,0
428,CCC(C)=O,1
429,C1CC1,1
430,NCCCN1C2:C:C:C:C:C:2CCC2:C:C:C:C:C:21,1
432,CCOCC,1
433,C=COC=C,1
434,FC(F)OC(F)(F)C(F)Cl,1
435,O=C(CC1:C:C:C(Cl):C(Cl):C:1)N1CCC2:[NH]:C:N:C:2[C@H]1CN1CCCC1,0
436,CC1(C)CCN(C(=O)CC2:C:C:C(Cl):C(Cl):C:2)[C@@H](CN2CCCC2)C1,1
437,CC(C)(C(=O)O)C1:C:C:C(C(=O)CCCN2CCC(OC(C3:C:C:C:C:C:3)C3:C:C:C:C:C:3)CC2):C:C:1,0
438,O=C(O)COCCN1CCN(C(C2:C:C:C:C:C:2)C2:C:C:C(Cl):C:C:2)CC1,0
439,O=C(O)C1:C:N(C2CC2):C2:C:C(N3CCNCC3):C(F):C:C:2:C:1=O,0
440,CCC1:C(O):C(=O):C:C:N:1CCO,0
441,CCC1:C(O):C(=O):C:C:N:1CCCCO,0
442,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCC4:C(:[NH]:C5:C:C:C:C:C:4:5)[C@@H]3C[C@@H]21,0
443,CC1:C:N([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2):C(=O):[NH]:C:1=O,0
444,CC(=O)C1:C:C:C2:C(:C:1)N(CCCN(C)C)C1:C:C:C:C:C:1S2,1
445,CC(=O)C1:C:C:C2:C(:C:1)N(CCCN1CCN(CCO)CC1)C1:C:C:C:C:C:1S2,1
446,CC(=O)NC1:N:N:C(S(N)(=O)=O):S:1,1
447,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1
448,NC12CC3CC(CC(C3)C1)C2.[Cl-].[H+],1
450,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1
451,CC(N)CC1:C:C:C:C:C:1,1
452,CCO,1
454,CCOC(=O)C1:N:C:N2:C:1CN(C)C(=O)C1:C:C(F):C:C:C:12,1
455,CN1C(=O)CN=C(C2:C:C:C:C:C:2F)C2:C:C([N+](=O)[O-]):C:C:C:21,1
456,C=COCC(F)(F)F,1
457,FC(F)(F)C(Cl)Br,1
458,CCCCCCC,1
459,CCCCCC,1
460,CC1:C(O):C(=O):C:C:N:1C,1
461,CCN1:C:C:C(=O):C(O):C:1C,1
462,CCCCN1:C:C:C(=O):C(O):C:1C,1
463,CCCCCN1:C:C:C(=O):C(O):C:1C,1
465,CC1:C(O):C(=O):C:C:N:1CCCO,0
466,CCC1:C(O):C(=O):C:C:N:1CC,1
467,CN1CCN(C2:C:C3:C(:C:C:2F):C(=O):C(C(=O)O):C:N:3C2:C:C:C(F):C:C:2)CC1,0
468,CC1:C:C(=O):N(C2:C:C:C:C:C:2):N:1C,1
469,CN1CCC2:C:C:C:C3:C:2[C@H]1CC1:C:C:C(O):C(O):C:13,1
470,COC(=O)C1=CCCN(C)C1,1
471,O=C(CCCN1CCN(C2:C:C:C:C:N:2)CC1)C1:C:C:C(F):C:C:1,1
472,CCN(CC)CCOC(=O)C(O)(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1.[Cl-].[H+],1
473,O=C(CCCN1CCC(N2:C(=O):[NH]:C3:C:C:C:C:C:3:2)CC1)C1:C:C:C(F):C:C:1,1
474,CCOC(=O)C1:C:C:C(N):C:C:1,1
475,CCN(CC)C(=O)C1CN2CCC3:C:C(OC):C(OC):C:C:3C2CC1OC(C)=O,1
476,CN1C2CCC1CC(OC(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1)C2.O=S(=O)(O)O,1
477,OC(CCN1CCCCC1)(C1:C:C:C:C:C:1)C1CC2C=CC1C2,1
478,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,1
479,CC(C)(C)NC(=O)[C@@H]1CN(CC2:C:C:C:N:C:2)CCN1C[C@@H](O)C[C@@H](CC1:C:C:C:C:C:1)C(=O)N[C@H]1C2:C:C:C:C:C:2C[C@H]1O,1
480,FC(F)OC(Cl)C(F)(F)F,1
481,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,1
482,COC(F)(F)C(Cl)Cl,1
483,CC1CCCC1,1
486,CN(C)CCOC(C)(C1:C:C:C:C:C:1)C1:C:C:C:C:N:1,1
487,CN(C(=O)CC1:C:C:C:C:C:1N)[C@@H](CN1CC[C@@H](O)C1)C1:C:C:C:C:C:1,0
488,CCN1:C:C(C(=O)O):C(=O):C2:C:C(F):C(N3CCNCC3):N:C:2:1,0
489,CN1CCN(C2:C(F):C:C3:C(=O):C(C(=O)O):C:N(CCF):C:3:C:2F)CC1,0
490,CC(=O)N1CCN(C(=O)CC2:C:C:C(Cl):C(Cl):C:2)[C@@H](CN2CCCC2)C1,1
491,O=C(CC1:C:C:C(Cl):C(Cl):C:1)N1CCC2:O:C:C:C:2[C@H]1CN1CCCC1,1
492,COC(=O)N1CCN(C(=O)CC2:C:C:C(Cl):C(Cl):C:2)[C@@H](CN2CCCC2)C1,1
493,O=C1CN=C(C2:C:C:C:C:N:2)C2:C:C(Br):C:C:C:2N1,1
494,CC(C)(C)C1:C:C:C(CN2CCN(C(C3:C:C:C:C:C:3)C3:C:C:C(Cl):C:C:3)CC2):C:C:1,1
495,CN(C)CCC1:C:[NH]:C2:C:C:C(O):C:C:1:2,1
496,CC(NC(C)(C)C)C(=O)C1:C:C:C:C(Cl):C:1,1
497,O=C(NCC1:C:C:C:C:C:1)OCCO,1
498,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
499,CN1:C(=O):C2:C(:N:C:N:2C):N(C):C:1=O,1
500,C=C(C)[C@@H]1CCC(C)=CC1C1:C(O):C:C(CCCCC):C:C:1O,1
